method,top1,top5,top10,top15,top20
RPKG,0.519230769,0.692307692,0.730769231,0.75,0.75
RPKG-no function feature,0.153846154,0.442307692,0.519230769,0.557692308,0.557692308
acc lost,0.365384615,0.25,0.211538462,0.192307692,0.192307692
