method,top1,top5,top10,top15,top20
RPKG,0.87 ,0.93 ,1.00 ,1.00 ,1.00 
RPKG-no robot feature,0.27 ,0.40 ,0.40 ,0.40 ,0.40 
acc lost,0.6,0.533333333,0.6,0.6,0.6
