query-id,RPKG,RPKG-no function feature
1,1,-1
2,1,-1
3,1,-1
4,1,-1
5,-1,12
6,1,2
8,2,2
15,9,3
17,3,1
18,1,3
23,5,6
24,1,1
25,1,2
26,1,8
27,1,-1
28,1,12
32,1,2
38,1,1
40,1,1
45,1,3
51,1,1
53,-1,-1
55,1,3
56,1,1
58,6,3
59,1,5
60,3,4
61,1,8
65,1,-1
67,-1,-1
68,-1,-1
69,4,-1
70,-1,-1
71,-1,-1
72,13,1
73,-1,2
74,-1,-1
75,-1,-1
76,4,-1
77,-1,-1
78,-1,-1
80,-1,-1
82,1,-1
84,1,-1
88,3,-1
89,5,2
90,1,3
91,2,6
92,1,-1
97,-1,-1
99,1,1
100,1,3
