Sample Size,top1,top5,top10,top15,top20
10,0.7,0.8,0.8,0.9,0.9
20,0.65,0.7,0.75,0.75,0.75
30,0.5,0.7333333333333333,0.7333333333333333,0.8,0.8
40,0.625,0.725,0.775,0.8,0.8
50,0.58,0.72,0.8,0.8,0.82
60,0.55,0.7333333333333333,0.8,0.8166666666666667,0.8166666666666667
70,0.5571428571428572,0.7142857142857143,0.7714285714285715,0.7857142857142857,0.8
80,0.575,0.725,0.7625,0.775,0.7875
90,0.6,0.7222222222222222,0.7888888888888889,0.8111111111111111,0.8222222222222222
100,0.56,0.7,0.76,0.78,0.79
