query-id,RPKG,RPKG-no robot feature
15,9,-1
16,1,-1
19,1,-1
20,1,4
21,1,1
23,5,-1
24,1,4
25,1,1
26,1,1
42,1,-1
43,1,-1
44,1,1
45,1,-1
99,1,-1
100,1,-1
