method,top1,top5,top10,top15,top20
RPKG,0.75,0.875,0.9375,0.9375,0.9375
RPKG-no sensor feature,0.125,0.3125,0.375,0.375,0.375
acc lost,0.625,0.5625,0.5625,0.5625,0.5625
