method,top1,top5,top10,top15,top20
RPKG,0.548780488,0.695121951,0.743902439,0.768292683,0.780487805
RPKG-no characteristics feature,0.195121951,0.280487805,0.304878049,0.304878049,0.304878049
acc lost,0.353658537,0.414634146,0.43902439,0.463414634,0.475609756
