query-id,RPKG,RPKG-no category feature
6,1,1
7,1,9
30,1,1
35,1,-1
36,1,11
40,1,1
44,1,1
47,1,4
49,1,1
54,1,3
57,1,1
62,1,4
85,1,1
96,1,-1
