query-id,RPKG,RPKG-no sensor feature
6,1,6
7,1,-1
8,2,2
9,1,5
10,1,2
11,1,1
55,1,-1
56,1,-1
57,1,-1
58,6,-1
59,1,1
60,3,-1
61,1,-1
62,1,-1
81,1,-1
83,-1,-1
