distro,name
noetic,jsk_baxter_desktop
noetic,jsk_baxter_startup
noetic,jsk_baxter_web
indigo,baxter_description
indigo,baxter_examples
indigo,baxter_gazebo
indigo,baxter_simulator
indigo,baxter_paper_filing
indigo,baxter_sdk
indigo,baxter_common
indigo,baxter_interface
indigo,baxter_tools
indigo,baxter_sim_controllers
indigo,baxter_sim_kinematics
indigo,baxter_core_msgs
indigo,jsk_arc2017_baxter
indigo,baxter_sim_hardware
indigo,baxter_maintenance_msgs
indigo,baxter_sim_io
indigo,baxter_rpc_msgs
indigo,baxter_moveit_config
indigo,baxter_rpc_server
indigo,jsk_baxter_desktop
indigo,jsk_baxter_startup
indigo,jsk_baxter_web
indigo,baxter_sim_examples
indigo,baxter_ikfast_left_arm_plugin
indigo,baxter_ikfast_right_arm_plugin
indigo,jsk_2015_05_baxter_apc
indigo,jsk_2016_01_baxter_apc
hydro,baxter_description
hydro,baxter_examples
hydro,baxter_sdk
hydro,baxter_common
hydro,baxter_interface
hydro,baxter_tools
hydro,baxter_core_msgs
hydro,baxter_maintenance_msgs
hydro,jsk_baxter_desktop
hydro,jsk_baxter_startup
hydro,jsk_baxter_web
kinetic,baxter_description
kinetic,baxter_examples
kinetic,baxter_gazebo
kinetic,baxter_simulator
kinetic,baxter_common
kinetic,baxter_sim_controllers
kinetic,baxter_sim_kinematics
kinetic,baxter_core_msgs
kinetic,baxter_sim_hardware
kinetic,baxter_maintenance_msgs
kinetic,baxter_sim_io
kinetic,baxter_moveit_config
kinetic,baxter_sim_examples
kinetic,baxter_ikfast_left_arm_plugin
kinetic,baxter_ikfast_right_arm_plugin
